VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,3/26/2017 20:06,3/26/2017 20:14,1,1.46,1,N,186,233,1,7,0.5,0.5,1.24,0,0.3,9.54
2,7/27/2017 10:10,7/27/2017 10:23,1,1.66,1,N,163,100,1,10,0,0.5,1.2,0,0.3,12
2,12/11/2017 20:04,12/11/2017 20:16,1,1.63,1,N,161,234,1,9.5,0.5,0.5,2.16,0,0.3,12.96
1,11/18/2017 13:04,11/18/2017 13:39,1,10,1,N,230,138,1,34.5,0,0.5,7.05,0,0.3,42.35
2,3/18/2017 23:41,3/18/2017 23:49,1,1.42,1,N,113,68,2,7,0.5,0.5,0,0,0.3,8.3
2,2/7/2017 8:56,2/7/2017 9:07,1,0.72,1,N,211,231,1,8,0,0.5,0,0,0.3,8.8
2,3/31/2017 20:18,3/31/2017 20:50,3,9.67,1,N,138,232,1,31,0.5,0.5,8.08,0,0.3,40.38
1,5/24/2017 20:46,5/24/2017 21:02,1,2.3,1,N,161,246,1,12.5,0.5,0.5,2.75,0,0.3,16.55
1,2/15/2017 20:16,2/15/2017 20:39,1,4.7,1,N,256,181,1,18.5,0.5,0.5,3,0,0.3,22.8
1,9/29/2017 11:38,9/29/2017 12:10,1,3.5,1,N,163,211,2,19.5,0,0.5,0,0,0.3,20.3
1,8/16/2017 9:30,8/16/2017 9:46,1,2.7,1,N,236,164,2,12.5,0,0.5,0,0,0.3,13.3
2,6/13/2017 19:17,6/13/2017 19:27,2,1.07,1,N,113,125,2,8,1,0.5,0,0,0.3,9.8
1,8/5/2017 15:42,8/5/2017 16:00,2,2.3,1,N,50,170,2,13,0,0.5,0,0,0.3,13.8
2,5/13/2017 20:55,5/13/2017 21:20,1,6.93,1,N,166,158,2,24,0.5,0.5,0,0,0.3,25.3
2,4/10/2017 22:17,4/10/2017 22:33,6,2.95,1,N,161,236,2,13.5,0.5,0.5,0,0,0.3,14.8
1,6/3/2017 14:24,6/3/2017 15:31,1,18,2,N,132,163,1,52,0,0.5,0,0,0.3,52.8
2,11/17/2017 12:01,11/17/2017 12:24,6,6.25,1,N,231,107,1,22.5,0,0.5,4.66,0,0.3,27.96
1,9/28/2017 21:17,9/28/2017 21:30,1,1.8,1,N,233,163,2,9.5,0.5,0.5,0,0,0.3,10.8
2,4/1/2017 2:56,4/1/2017 3:00,6,0.63,1,N,255,255,1,4.5,0.5,0.5,1.16,0,0.3,6.96
1,10/21/2017 19:27,10/21/2017 19:34,2,1.3,1,N,75,74,1,7,0,0.5,0,0,0.3,7.8
2,12/29/2017 17:22,12/29/2017 17:32,6,3.22,1,N,138,223,1,11.5,1,0.5,3.32,0,0.3,16.62
2,9/27/2017 9:10,9/27/2017 9:16,2,1.09,1,N,74,41,1,6.5,0,0.5,1,0,0.3,8.3
2,7/9/2017 2:27,7/9/2017 2:35,1,0.79,1,N,100,164,2,7,0.5,0.5,0,0,0.3,8.3
1,10/15/2017 1:04,10/15/2017 1:09,1,1.1,1,N,158,125,1,5.5,0.5,0.5,1.35,0,0.3,8.15
2,6/23/2017 17:55,6/23/2017 18:29,1,2.73,1,N,237,246,1,20.5,1,0.5,4.46,0,0.3,26.76
1,6/9/2017 23:53,6/10/2017 0:02,1,1.9,1,N,236,74,2,9,0.5,0.5,0,0,0.3,10.3
2,3/4/2017 16:40,3/4/2017 16:56,5,2.85,1,N,164,236,1,12.5,0,0.5,1,0,0.3,14.3
2,9/8/2017 21:45,9/8/2017 22:02,1,1.8,1,N,230,137,2,11.5,0.5,0.5,0,0,0.3,12.8
2,4/7/2017 13:53,4/7/2017 13:59,2,0.83,1,N,230,163,1,6,0,0.5,0.7,0,0.3,7.5
1,12/22/2017 11:49,12/22/2017 12:21,1,4.2,1,N,262,186,1,22,0,0.5,4.56,0,0.3,27.36
1,12/18/2017 19:21,12/18/2017 19:37,1,1.6,1,N,186,233,2,11,1,0.5,0,0,0.3,12.8
1,12/6/2017 22:49,12/6/2017 22:53,1,0.5,1,N,161,230,1,4.5,0.5,0.5,2,0,0.3,7.8
2,5/19/2017 8:05,5/19/2017 8:20,1,1.71,1,N,229,263,1,10.5,0,0.5,2.26,0,0.3,13.56
1,6/22/2017 8:05,6/22/2017 8:05,1,0,3,N,231,231,2,20,0,0,0,0,0.3,20.3
2,6/17/2017 0:21,6/17/2017 0:26,1,1.06,1,N,68,113,2,5.5,0.5,0.5,0,0,0.3,6.8
1,3/18/2017 23:23,3/18/2017 23:43,2,4.1,1,N,48,232,1,17.5,0.5,0.5,3.75,0,0.3,22.55
2,12/12/2017 16:50,12/12/2017 16:56,1,1.08,1,N,142,238,1,6,1,0.5,1.17,0,0.3,8.97
1,11/24/2017 15:17,11/24/2017 15:33,1,2.6,1,N,148,170,2,13,0,0.5,0,0,0.3,13.8
2,12/29/2017 16:04,12/29/2017 16:10,1,0.91,1,N,43,43,2,6,1,0.5,0,0,0.3,7.8
2,7/18/2017 19:11,7/18/2017 19:23,1,0.95,1,N,68,161,1,8.5,1,0.5,2,0,0.3,12.3
2,1/8/2017 2:59,1/8/2017 3:04,1,1.71,1,N,263,74,1,6.5,0.5,0.5,1,0,0.3,8.8
2,7/9/2017 3:01,7/9/2017 3:11,1,2.62,1,N,211,68,2,10,0.5,0.5,0,0,0.3,11.3
1,8/28/2017 11:51,8/28/2017 12:20,1,9,1,N,132,265,2,28,0,0.5,0,0,0.3,28.8
2,7/17/2017 14:20,7/17/2017 14:24,1,0.67,1,N,236,236,1,4.5,0,0.5,1.06,0,0.3,6.36
1,8/16/2017 21:37,8/16/2017 21:42,2,1.1,1,N,50,239,1,6,0.5,0.5,1.45,0,0.3,8.75
2,12/13/2017 14:05,12/13/2017 14:20,2,2.14,1,N,236,142,2,11.5,0,0.5,0,0,0.3,12.3
1,10/18/2017 7:42,10/18/2017 7:49,1,1.4,1,N,144,107,1,6.5,0,0.5,1.45,0,0.3,8.75
1,12/26/2017 23:33,12/26/2017 23:38,1,1,1,N,148,113,2,5.5,0.5,0.5,0,0,0.3,6.8
2,3/15/2017 21:17,3/15/2017 21:23,1,1.84,1,N,43,236,2,7.5,0.5,0.5,0,0,0.3,8.8
2,12/12/2017 12:32,12/12/2017 12:35,1,0.55,1,N,237,237,1,4,0,0.5,1.2,0,0.3,6
1,4/6/2017 2:45,4/6/2017 2:47,1,0.3,1,N,170,170,2,3.5,0.5,0.5,0,0,0.3,4.8
2,4/14/2017 12:49,4/14/2017 12:58,1,1.39,1,N,262,140,1,8,0,0.5,2.2,0,0.3,11
1,3/3/2017 9:18,3/3/2017 9:34,1,1.5,1,N,50,161,3,11,0,0.5,0,0,0.3,11.8
1,2/3/2017 6:24,2/3/2017 6:30,1,1.1,1,N,186,186,3,6,0,0.5,0,0,0.3,6.8
1,3/15/2017 15:42,3/15/2017 15:46,1,0.5,1,N,236,263,1,4.5,0,0.5,1.05,0,0.3,6.35
2,5/19/2017 14:10,5/19/2017 14:28,1,1.57,1,N,234,170,1,12.5,0,0.5,2.66,0,0.3,15.96
2,9/15/2017 22:13,9/15/2017 22:15,2,1.03,1,N,239,142,1,5,0.5,0.5,1.26,0,0.3,7.56
2,4/17/2017 12:03,4/17/2017 12:40,5,11.51,1,N,161,138,2,39.5,0,0.5,0,5.76,0.3,46.06
2,9/1/2017 23:10,9/1/2017 23:14,2,0.65,1,N,144,211,2,5,0.5,0.5,0,0,0.3,6.3
1,11/29/2017 11:13,11/29/2017 11:47,1,2.8,1,N,238,162,1,20.5,0,0.5,3.2,0,0.3,24.5
2,1/22/2017 0:35,1/22/2017 1:05,2,6.14,1,N,234,17,1,24.5,0.5,0.5,0,0,0.3,25.8
1,12/11/2017 10:21,12/11/2017 11:14,1,15.6,1,N,138,88,1,51.5,0,0.5,11.6,5.76,0.3,69.66
1,10/24/2017 15:21,10/24/2017 15:39,1,1.5,1,N,164,249,1,12.5,0,0.5,3.95,0,0.3,17.25
1,12/4/2017 23:16,12/4/2017 23:37,1,7,1,N,68,42,1,23,0.5,0.5,3,0,0.3,27.3
1,4/21/2017 23:15,4/21/2017 23:27,1,2.6,1,N,263,142,1,11,0.5,0.5,3,0,0.3,15.3
1,4/29/2017 13:29,4/29/2017 13:48,1,3.1,1,N,236,107,1,15,0,0.5,1,0,0.3,16.8
2,11/11/2017 20:16,11/11/2017 20:17,1,0.23,2,N,132,132,2,52,0,0.5,0,0,0.3,52.8
1,4/12/2017 20:13,4/12/2017 20:30,1,2.1,1,N,234,237,1,12,0.5,0.5,2.65,0,0.3,15.95
2,8/23/2017 15:26,8/23/2017 15:42,2,1.97,1,N,230,234,2,12,0,0.5,0,0,0.3,12.8
2,6/7/2017 7:55,6/7/2017 8:10,1,4.67,1,N,87,233,1,17,0,0.5,3.56,0,0.3,21.36
2,3/22/2017 22:55,3/22/2017 23:18,1,4.31,1,N,79,263,1,17.5,0.5,0.5,3.76,0,0.3,22.56
2,6/8/2017 19:27,6/8/2017 19:34,1,0.84,1,N,158,114,2,6.5,1,0.5,0,0,0.3,8.3
2,10/5/2017 0:02,10/5/2017 0:13,2,2.34,1,N,234,148,1,10.5,0.5,0.5,2.36,0,0.3,14.16
2,6/19/2017 1:03,6/19/2017 1:07,2,1.04,1,N,79,137,2,5,0.5,0.5,0,0,0.3,6.3
2,4/15/2017 12:08,4/15/2017 12:27,6,2.84,1,N,239,90,1,14,0,0.5,2.96,0,0.3,17.76
1,5/31/2017 20:58,5/31/2017 21:02,2,0.3,1,N,237,237,2,4.5,0.5,0.5,0,0,0.3,5.8
1,7/15/2017 22:34,7/15/2017 23:02,1,3.9,1,N,230,158,1,19,0.5,0.5,0,0,0.3,20.3
2,2/12/2017 15:37,2/12/2017 16:03,1,5.27,1,N,234,151,2,22,0,0.5,0,0,0.3,22.8
1,4/20/2017 7:13,4/20/2017 7:29,1,3.3,1,N,100,236,1,13.5,0,0.5,2.85,0,0.3,17.15
1,6/22/2017 14:22,6/22/2017 16:07,1,16.9,1,N,230,219,2,71.5,0,0.5,0,0,0.3,72.3
1,8/16/2017 18:31,8/16/2017 18:37,1,1.4,1,N,186,50,1,6.5,1,0.5,1.65,0,0.3,9.95
2,6/13/2017 20:05,6/13/2017 20:42,1,18.05,3,N,163,1,2,69.5,0.5,0,0,10.5,0.3,80.8
2,6/13/2017 19:04,6/13/2017 19:09,3,0.47,1,N,161,161,1,5,1,0.5,1.36,0,0.3,8.16
2,7/8/2017 14:42,7/8/2017 15:00,3,2.3,1,N,142,186,1,13,0,0.5,2.76,0,0.3,16.56
2,12/27/2017 17:40,12/27/2017 18:01,1,8.32,1,N,138,116,1,25.5,1,0.5,5,5.76,0.3,38.06
2,2/3/2017 20:40,2/3/2017 20:44,2,0.95,1,N,161,237,1,5.5,0.5,0.5,1.02,0,0.3,7.82
2,1/20/2017 19:57,1/20/2017 20:05,1,0.66,1,N,100,186,1,6.5,0.5,0.5,1,0,0.3,8.8
1,6/7/2017 22:52,6/7/2017 23:07,1,3.8,1,N,186,13,1,14.5,0.5,0.5,3.15,0,0.3,18.95
1,5/1/2017 22:09,5/1/2017 22:22,1,2.4,1,N,239,262,1,11,0.5,0.5,3.05,0,0.3,15.35
2,5/15/2017 8:22,5/15/2017 8:57,2,4.24,1,N,43,186,1,22.5,0,0.5,4.66,0,0.3,27.96
2,11/7/2017 7:38,11/7/2017 7:50,1,1.77,1,N,239,24,2,9.5,0,0.5,0,0,0.3,10.3
1,10/31/2017 22:24,10/31/2017 22:46,1,2.4,1,N,79,186,1,15,0.5,0.5,3.25,0,0.3,19.55
1,12/4/2017 17:39,12/4/2017 17:56,1,2.5,1,N,114,246,2,12.5,1,0.5,0,0,0.3,14.3
1,8/21/2017 12:40,8/21/2017 13:12,3,15.2,1,N,264,264,1,42.5,0,0.5,5,0,0.3,48.3
1,5/29/2017 21:48,5/29/2017 21:57,2,2.5,1,N,234,231,1,9.5,0.5,0.5,1.5,0,0.3,12.3
2,9/7/2017 8:10,9/7/2017 8:15,1,0.99,1,N,79,249,1,6,0,0.5,3,0,0.3,9.8
1,10/5/2017 18:49,10/5/2017 19:01,2,2.2,1,N,50,239,1,10.5,1,0.5,1.6,0,0.3,13.9
1,9/15/2017 19:17,9/15/2017 19:54,2,3.3,1,N,229,68,1,22,1,0.5,4.75,0,0.3,28.55
2,4/15/2017 13:56,4/15/2017 14:03,1,1.13,1,N,239,142,2,7,0,0.5,0,0,0.3,7.8
2,3/5/2017 19:53,3/5/2017 19:55,1,0.43,1,N,249,158,1,4,0,0.5,0.96,0,0.3,5.76
2,9/26/2017 11:56,9/26/2017 12:01,1,1.72,1,N,28,95,2,7.5,0,0.5,0,0,0.3,8.3
1,1/25/2017 18:33,1/25/2017 18:55,1,3.2,1,N,162,239,1,16,1,0.5,2,0,0.3,19.8
2,8/13/2017 10:01,8/13/2017 10:22,6,10.01,1,N,237,138,1,29,0,0.5,8.89,5.76,0.3,44.45
1,4/11/2017 16:13,4/11/2017 16:18,1,0.8,1,N,151,238,1,6,1,0.5,2.3,0,0.3,10.1
2,1/24/2017 18:03,1/24/2017 18:09,1,1.35,1,N,231,249,1,6,1,0.5,1,0,0.3,8.8
2,2/25/2017 18:11,2/25/2017 18:45,5,3.85,1,N,161,148,2,21.5,0,0.5,0,0,0.3,22.3
2,11/17/2017 22:09,11/17/2017 22:29,5,1.6,1,N,234,100,2,12.5,0.5,0.5,0,0,0.3,13.8
1,2/13/2017 16:25,2/13/2017 16:55,1,4.2,1,N,140,166,2,21,1,0.5,0,0,0.3,22.8
1,5/28/2017 21:33,5/28/2017 21:41,1,2.1,1,N,24,142,1,8.5,0.5,0.5,1.25,0,0.3,11.05
2,7/20/2017 17:31,7/20/2017 17:52,1,0.78,1,N,161,163,1,13,1,0.5,2.96,0,0.3,17.76
2,7/7/2017 5:23,7/7/2017 5:26,5,0.74,1,N,237,140,1,4.5,0.5,0.5,1.16,0,0.3,6.96
2,11/30/2017 21:06,11/30/2017 21:14,4,0.99,1,N,230,164,1,7,0.5,0.5,1,0,0.3,9.3
1,8/5/2017 15:32,8/5/2017 15:39,1,1.3,1,N,48,239,2,7,0,0.5,0,0,0.3,7.8
2,11/18/2017 10:33,11/18/2017 10:45,6,2.21,1,N,186,211,1,10.5,0,0.5,1.7,0,0.3,13
1,1/27/2017 14:58,1/27/2017 15:15,3,1.9,1,N,113,231,1,12.5,0,0.5,2,0,0.3,15.3
2,6/24/2017 7:02,6/24/2017 7:09,1,1.32,1,N,48,164,1,7,0,0.5,1.1,0,0.3,8.9
1,11/17/2017 20:45,11/17/2017 20:54,2,0.5,1,N,186,100,2,7,0.5,0.5,0,0,0.3,8.3
2,7/29/2017 13:22,7/29/2017 13:49,1,4.93,1,N,114,236,1,20,0,0.5,2,0,0.3,22.8
1,11/22/2017 1:15,11/22/2017 1:23,1,1.4,1,N,125,231,1,7.5,0.5,0.5,1.75,0,0.3,10.55
2,6/9/2017 16:47,6/9/2017 17:14,1,2.52,1,N,236,161,1,18,1,0.5,3.96,0,0.3,23.76
2,4/11/2017 19:35,4/11/2017 19:51,1,2.69,1,N,142,164,2,12,1,0.5,0,0,0.3,13.8
2,2/5/2017 17:46,2/5/2017 17:57,1,1.5,1,N,170,113,1,8.5,0,0.5,1,0,0.3,10.3
2,10/12/2017 8:42,10/12/2017 8:57,1,1.36,1,N,140,237,1,10.5,0,0.5,2.26,0,0.3,13.56
2,5/12/2017 8:52,5/12/2017 9:09,1,1.52,1,N,164,163,1,11.5,0,0.5,2.46,0,0.3,14.76
